Date,Name,Year,Letterboxd URI,Rating
2022-05-19,The Witch: Part 1. The Subversion,2018,https://boxd.it/jhIm,3
2022-05-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2022-05-22,Encanto,2021,https://boxd.it/kPRu,3
2022-05-28,Marlina the Murderer in Four Acts,2017,https://boxd.it/gazQ,4
2022-05-28,Ali & Ratu Ratu Queens,2021,https://boxd.it/o9YQ,3
2022-05-28,One Day We'll Talk About Today,2020,https://boxd.it/mH2i,3
2022-05-28,Donnie Darko,2001,https://boxd.it/2b2A,4
2022-05-28,Predestination,2014,https://boxd.it/6bJM,3.5
2022-05-28,Radioactive,2019,https://boxd.it/hhpU,3.5
2022-05-30,Mortal Kombat,2021,https://boxd.it/gswA,2.5
2022-05-30,Geez & Ann,2021,https://boxd.it/oJ32,2.5
2022-06-03,The Half of It,2020,https://boxd.it/m0T4,3
2022-06-03,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk,4.5
2022-06-06,The Truman Show,1998,https://boxd.it/18U8,5
2022-06-17,Dead Poets Society,1989,https://boxd.it/2aSg,4
2022-06-19,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,4.5
2022-06-23,The Theory of Everything,2014,https://boxd.it/7YtA,4.5
2022-06-26,Turning Red,2022,https://boxd.it/ipkq,4
2022-06-26,The Batman,2022,https://boxd.it/eDGs,4.5
2022-07-01,About Time,2013,https://boxd.it/43bI,4
2022-07-02,CODA,2021,https://boxd.it/tbf4,3.5
2022-07-03,Tilik,2018,https://boxd.it/mHpQ,4
2022-07-03,The Little Things,2021,https://boxd.it/mdxU,3
2022-07-03,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
2022-07-03,Raya and the Last Dragon,2021,https://boxd.it/jbkI,3.5
2022-07-03,Nomadland,2020,https://boxd.it/lnRy,4.5
2022-07-06,If Anything Happens I Love You,2020,https://boxd.it/qIv4,3.5
