Date,Name,Year,Letterboxd URI
2021-12-31,Hawkeye,2021,https://boxd.it/xQqK
2022-01-04,Harry Potter 20th Anniversary: Return to Hogwarts,2022,https://boxd.it/xXJk
2022-01-06,Oldboy,2003,https://boxd.it/29R2
2022-01-13,Eternals,2021,https://boxd.it/j36o
2022-01-14,Photocopier,2021,https://boxd.it/wrxu
2022-01-16,Licorice Pizza,2021,https://boxd.it/qTKY
2022-01-27,You Are the Apple of My Eye,2018,https://boxd.it/jaqU
2022-02-14,Love and Leashes,2022,https://boxd.it/szB2
2022-02-15,Nightmare Alley,2021,https://boxd.it/m0HC
2022-02-15,Encanto,2021,https://boxd.it/kPRu
2022-02-16,Star Wars,1977,https://boxd.it/72s
2022-02-19,The Empire Strikes Back,1980,https://boxd.it/27Vw
2022-02-19,Flee,2021,https://boxd.it/ponM
2022-02-21,CODA,2021,https://boxd.it/tbf4
2022-03-05,Drive My Car,2021,https://boxd.it/sv94
2022-03-09,Yuni,2021,https://boxd.it/tXkw
2022-03-09,West Side Story,2021,https://boxd.it/iwt0
2022-03-15,Silenced,2011,https://boxd.it/2QGG
2022-04-23,Summer Ghost,2021,https://boxd.it/u3pW
2022-04-24,Shoplifters,2018,https://boxd.it/ifY6
2022-04-29,The Batman,2022,https://boxd.it/eDGs
2022-04-30,Zodiac,2007,https://boxd.it/27MO
2022-05-05,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/gaTc
2022-05-10,The Good Dinosaur,2015,https://boxd.it/3AD4
2022-05-10,The Wild,2006,https://boxd.it/1Xz6
2022-05-13,The Northman,2022,https://boxd.it/nK2s
2022-05-16,The Witch: Part 1. The Subversion,2018,https://boxd.it/jhIm
2022-05-20,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2022-05-20,The Intern,2015,https://boxd.it/7AOE
2022-05-20,Rio 2,2014,https://boxd.it/5jfy
2022-05-20,Rio,2011,https://boxd.it/NKc
2022-05-26,Beyond the Infinite Two Minutes,2020,https://boxd.it/ujVk
2022-05-28,Marlina the Murderer in Four Acts,2017,https://boxd.it/gazQ
2022-05-28,27 Steps of May,2018,https://boxd.it/k8bq
2022-05-28,Ali & Ratu Ratu Queens,2021,https://boxd.it/o9YQ
2022-05-28,Kartini: Princess of Java,2017,https://boxd.it/g75e
2022-05-28,Posesif,2017,https://boxd.it/h7e8
2022-05-28,Habibie & Ainun,2012,https://boxd.it/5jCW
2022-05-28,Satan's Slaves,2017,https://boxd.it/gJ1E
2022-05-28,Impetigore,2019,https://boxd.it/l1fs
2022-05-28,Tilik,2018,https://boxd.it/mHpQ
2022-05-28,Donnie Darko,2001,https://boxd.it/2b2A
2022-05-28,Predestination,2014,https://boxd.it/6bJM
2022-05-30,The Girl Who Leapt Through Time,2006,https://boxd.it/1OPa
2022-06-17,Dead Poets Society,1989,https://boxd.it/2aSg
2022-06-19,Cha Cha Real Smooth,2022,https://boxd.it/uF8E
2022-06-26,Turning Red,2022,https://boxd.it/ipkq
2022-07-03,If Anything Happens I Love You,2020,https://boxd.it/qIv4
